Date,HR,PGE,SCE,SDGE,VEA,CAISO
1/17/2021,19,11265.31,11371.59,2463.82,54.07,25154.79
1/17/2021,20,10994.32,11106.84,2367.53,53.48,24522.17
1/17/2021,21,10657.06,10683.76,2253.22,52.86,23646.91
1/17/2021,22,10251.75,10310.02,2144.74,51.85,22758.35
1/17/2021,23,9823.39,9781.51,2004.76,51.17,21660.82
1/17/2021,24,9487.84,9264.02,1869.80,51.35,20673.00
1/18/2021,1,9261.00,8980.35,1807.13,51.39,20099.86
1/18/2021,2,9017.16,8704.09,1742.38,52.97,19516.60
1/18/2021,3,8878.36,8551.01,1711.08,56.08,19196.52
1/18/2021,4,8865.65,8514.79,1697.11,59.18,19136.74
1/18/2021,5,9077.09,8679.63,1732.29,64.44,19553.44
1/18/2021,6,9519.37,9143.27,1833.15,71.68,20567.47
1/18/2021,7,10085.52,9791.37,1997.02,78.93,21952.83
1/18/2021,8,10320.64,10031.32,2069.89,80.60,22502.45
1/18/2021,9,10203.34,10118.30,1952.69,83.70,22358.02
1/18/2021,10,9710.10,9924.14,1820.77,80.63,21535.64
1/18/2021,11,9522.01,9842.60,1777.18,71.14,21212.93
