Date,HR,PGE,SCE,SDGE,VEA,CAISO Total,
4/12/2020,8,8460.08654079861,7560.78539930556,1639.02687282986,52.0524467002021,17709.8664699978,
4/12/2020,9,8547.94872395833,7517.01950683594,1713.85372192383,51.5551000467936,17827.0056751845,
4/12/2020,10,8640.24680524906,7552.1166736982,1753.90061149523,47.4882489469316,17959.9738818359,
4/12/2020,11,8385.02017252604,7778.9220827908,1747.19570936415,45.6347667217255,17922.2654676649,
4/12/2020,12,8125.55667154948,7973.72585123698,1804.33542209201,44.2890626600054,17899.682203776,
4/12/2020,13,7801.29504394531,7988.57374891493,1845.19169392904,44.4362493091159,17630.9108357747,
4/12/2020,14,7494.62286621094,8030.93842122396,1814.11024549696,45.0377510176765,17331.4734673394,
4/12/2020,15,7458.97923556858,7937.95895887587,1812.46426852756,44.0987495909797,17218.4073920356,
4/12/2020,16,7755.55842556424,7956.63509006076,1866.67929307726,44.8530667803023,17589.8718427192,
4/12/2020,17,8330.95424913194,8213.17452636719,1883.22665690104,46.5969583437178,18443.9894091797,
4/12/2020,18,8793.88941514757,8599.40320746528,2053.64233534071,49.4248887697856,19478.0421870086,
4/12/2020,19,9476.02729926215,9150.88130208333,2130.67052625868,50.5145396836599,20820.7075797526,
4/12/2020,20,10089.1937944878,9804.69137478299,2226.8024235026,50.9255842145284,22186.3293196615,
4/12/2020,21,10412.5084928385,9899.54753689236,2179.97771050347,49.9102899561988,22558.4019949002,
4/12/2020,22,10053.2378786892,9649.14805230035,2077.98626614041,47.7822546566857,21846.5234863281,
4/12/2020,23,9449.1882172309,9235.98208333333,1918.36436862522,45.0770804066128,20670.5405159505,
4/12/2020,24,8822.07382378472,8683.39703450521,1815.88890530056,42.6700258625878,19386.0225027127,
4/13/2020,1,8440.28133463542,8284.9963796658,1722.49031968859,41.4947956593831,18510.8310525174,
4/13/2020,2,8143.8311062212,8053.63125910292,1661.88090146373,41.0982238940775,17919.7734217665,
4/13/2020,3,7986.85158962674,7756.99552842882,1592.43361626519,42.0044343556298,17392.9515573459,
4/13/2020,4,7970.94913194444,7691.00932834201,1563.17323065864,44.1078473101722,17282.1477278646,
4/13/2020,5,8133.2727484809,7845.75022569444,1579.71448459201,47.3907075362735,17617.0772512478,
4/13/2020,6,8563.90767252604,8393.83159667969,1666.30652913411,52.7443891673618,18689.5220678711,
4/13/2020,7,9036.93171223958,9032.95606336806,1823.38938544379,57.4766199154324,19965.67402398,
4/13/2020,8,9479.09243381076,9237.02220920139,1894.76177571615,56.3548155964745,20683.7835847982,
4/13/2020,9,9450.31865668403,9336.4640375434,1916.21569688585,53.6962671099769,20734.8033582899,
4/13/2020,10,9142.23087673611,9138.57213758681,1846.23692152235,51.3267210173474,20147.1024503581,
4/13/2020,11,8598.15252387153,9209.77503689236,1818.09814602322,49.4659136486053,19640.966730957,
4/13/2020,12,8309.67697482639,9355.23613606771,1832.46560980903,46.4006118297577,19504.2709912109,
4/13/2020,13,8151.95377441406,9477.32090169271,1895.83468343099,45.2847039572398,19529.697749566,
4/13/2020,14,8063.00051486545,9592.36305230035,1879.87133531359,44.4834631601969,19541.6118759494,
4/13/2020,15,8036.81075954861,9558.9403656684,1833.81823635525,43.991631008784,19431.524577908,
4/13/2020,16,8105.43180013021,9446.65445638021,1981.78365464952,44.4461174689399,19542.2972821723,
4/13/2020,17,8529.71433539497,9296.34653320313,2031.8084644911,45.6603827677833,19872.5703143989,
4/13/2020,18,9297.53944118924,9356.32755099826,2110.18478176541,47.676983399921,20798.3543297065,
4/13/2020,19,10238.8623318142,9721.0636187066,2194.60889078776,48.973758093516,22207.5633759223,
4/13/2020,20,10821.6749207899,10343.1916623264,2325.29196587457,52.5655778895484,23552.6452853733,
4/13/2020,21,11114.1207248264,10481.0488151042,2250.4570562066,52.7594862906138,23909.0993581814,
4/13/2020,22,10682.8863964844,10108.9828808594,2166.63872124566,50.6296697775523,23021.0268077257,
4/13/2020,23,9964.75993055556,9512.94364149306,2021.02236585829,48.3779479662577,21559.3774967448,
4/13/2020,24,9298.42800130208,8920.5293109809,1874.74646158854,46.11592646069,20152.0884803602,
4/14/2020,1,8847.12597547743,8519.8041156684,1831.27817626953,45.195741197798,19257.4591525608,
4/14/2020,2,8532.86044053819,8338.09216688368,1716.16895033095,45.2780135981242,18646.433811849,
4/14/2020,3,8205.39038519965,8152.14983669705,1662.54742160373,45.6168161021339,18079.8449869792,
4/14/2020,4,8269.24721191406,8246.28858398438,1615.73606987847,47.5344738377465,18193.0135118273,
4/14/2020,5,8458.52830403646,8485.68615342882,1618.08663004557,51.0169562286801,18628.9881922743,
4/14/2020,6,8908.15457790799,8986.76877061632,1697.00842230903,57.3387011686961,19662.9727723524,
4/14/2020,7,9486.97017578125,9410.57444010417,1840.88330946181,62.7792090649075,20814.4104595269,
4/14/2020,8,9711.29409288194,9460.64661132813,1815.76359022352,60.6959245226118,21058.5773866102,
4/14/2020,9,9358.63323784722,9289.7224858941,1734.84366048177,57.0174521700541,20423.1168291558,
4/14/2020,10,8796.45796657986,8946.92566514757,1551.95729288737,53.1486959203084,19320.6835158963,
4/14/2020,11,8329.95400499132,8671.30817165799,1365.38947157118,49.5815134599474,18382.735472819,
4/14/2020,12,8036.39382921007,8483.7058702257,1264.79847886827,46.5308559650845,17794.520367296,
4/14/2020,13,7929.72437120226,8482.45118164063,1236.29121297201,46.306008582645,17660.7881022135,
4/14/2020,14,7865.09161946615,8435.89632486979,1227.45923014323,44.1753936195374,17532.0774053277,
4/14/2020,15,7913.2206749132,8494.68499348958,1273.44802544488,43.1606112310622,17687.1554541051,
4/14/2020,16,8190.81367621528,8741.15017361111,1369.42509738498,42.5970673942566,18310.5544623481,
4/14/2020,17,8697.98970703125,9063.69188151042,1546.16362630208,44.4140736177233,19324.4757872179,
4/14/2020,18,9604.85171440972,9611.68357096354,1812.62103610569,47.058555849923,21062.9905105252,
4/14/2020,19,10527.404749349,10127.8304893663,2068.49810153537,48.7563201109568,22779.8492930773,
4/14/2020,20,11104.9822450087,10664.753063151,2289.67251953125,52.2198089090983,24122.0571110026,
4/14/2020,21,11278.6529926215,10831.3406705729,2248.07980224609,52.8946863799625,24420.8775596788,
4/14/2020,22,10810.2246039497,10418.1515614149,2132.59181179471,51.1628499539693,23421.9590646701,
4/14/2020,23,10092.0647872197,9778.74786717446,1993.55574151001,48.5364790429009,21924.0333365885,
4/14/2020,24,9388.38361653646,9120.2810655382,1823.63194349501,46.4553960323334,20389.5766867405,
4/15/2020,1,9016.7794249132,8731.73197916667,1685.70615234375,46.051779610316,19489.7023605686,
4/15/2020,2,8718.8505609809,8421.83478841146,1617.83429484049,47.1625682396359,18815.5324734158,
4/15/2020,3,8504.48526584201,8213.79655056424,1547.24662231445,48.4595318847232,18322.6552712674,
4/15/2020,4,8455.54616861979,8133.30921495226,1543.68161743164,51.7408779229058,18190.4380815972,
4/15/2020,5,8643.40735026042,8252.55623969184,1565.83340549045,56.0773790433672,18523.8065923394,
4/15/2020,6,8972.36346788195,8704.09538085938,1644.18654785156,63.1991131220924,19386.0567371962,
4/15/2020,7,9499.09168945313,9098.86936523438,1764.39945583767,69.5472994168599,20432.0896896466,
4/15/2020,8,9642.68986002604,9165.17416015625,1765.52203843859,65.9750927819146,20639.5399690755,
4/15/2020,9,9340.03870985243,9070.18297634549,1666.16681952582,59.9262143696679,20103.1569542101,
4/15/2020,10,8848.22359375,8834.01639648437,1512.92110839844,53.450332330068,19205.6345898438,
4/15/2020,11,8491.71690104167,8667.20776692708,1406.11126790365,48.7101930512322,18571.9697113715,
4/15/2020,12,8288.43614149306,8621.36337131077,1355.19938245985,45.141760079066,18265.8678342014,
4/15/2020,13,8236.91179741754,8705.22072374132,1327.39935329861,44.0434685346815,18271.8886064996,
4/15/2020,14,8240.83961425781,8761.12492947049,1340.30366183811,43.5377386580573,18344.8642906359,
4/15/2020,15,8335.13890082465,8837.70801649306,1363.15872043186,43.1481969780392,18540.8919159614,
4/15/2020,16,8722.06165039063,9022.61748480903,1459.1862495931,44.1108215173086,19215.2678664822,
4/15/2020,17,9315.98997178819,9249.86931966146,1613.65745985243,46.125966823366,20193.8825406901,
4/15/2020,18,10177.7044835069,9770.33443142361,1876.73819444444,49.1483016671075,21854.6799015299,
4/15/2020,19,10874.7324140047,10130.336991792,2126.35776964063,49.6069924767812,23180.1626733398,
4/15/2020,20,11307.7424652778,10550.3955761719,2307.21170871311,52.4544904602899,24226.297195638,
4/15/2020,21,11425.0671679688,10614.6775585938,2292.23972900391,51.7777439202203,24394.746289605,
4/15/2020,22,10944.0209375,10196.5186219618,2182.74226752387,48.4980383290185,23382.0399207899,
4/15/2020,23,10187.1275119358,9562.34906358507,1976.38475246853,45.5141446579827,21782.8649869792,
4/15/2020,24,9461.13936957465,8999.48211697049,1820.73495117188,42.6631980546316,20335.1769184028,
4/16/2020,1,9046.26632161458,8488.29067708333,1702.29561591254,40.9984737459819,19289.9556803385,
4/16/2020,2,8695.07254665799,8129.30358289931,1611.30803602431,40.4309794712067,18487.4160904948,
4/16/2020,3,8472.43366427951,7876.23893446181,1576.02579711914,40.6039152696398,17975.303349931,
4/16/2020,4,8397.35572482639,7814.1828781467,1550.96323540582,41.9891565757328,17814.766117079,
4/16/2020,5,8485.06898328993,8024.4794406467,1597.2224871148,44.4897668944465,18161.5315185547,
4/16/2020,6,8910.7940093316,8496.23824327257,1668.0954051378,49.3434319856432,19132.2795638021,
4/16/2020,7,9431.42733615452,8862.70758572049,1754.97788926866,53.8632709376017,20110.7338726128,
4/16/2020,8,9724.70795030382,8918.52240125868,1774.41269734701,52.3048517068227,20463.5568706597,
4/16/2020,9,9700.64825086806,8782.54984375,1631.43994276259,50.9185648324755,20128.2449338108,
4/16/2020,10,9396.92719618056,8632.36476779514,1521.2028636339,48.8275676144494,19557.3365540907,
4/16/2020,11,8965.90432725695,8533.95915581597,1391.11881863064,47.5927711518606,18900.5152926975,
4/16/2020,12,8636.24143554688,8489.3436859809,1322.94947509766,45.9255409526825,18458.3435411241,
4/16/2020,13,8403.22898003472,8532.97910807292,1285.73650960286,45.5155880578359,18236.140249566,
4/16/2020,14,8411.34588867187,8623.51422417535,1274.56586968316,45.0142517047458,18327.6864808485,
4/16/2020,15,8550.96686523438,8745.8544281684,1282.13570366753,45.4659742599063,18604.876937934,
4/16/2020,16,8879.68384440104,8944.70716145833,1392.47034681532,45.7230635823144,19246.7349872504,
4/16/2020,17,9347.48962999132,9182.28287326389,1565.78907606337,47.9473034424252,20133.4663015408,
4/16/2020,18,10083.2754427083,9622.26302625868,1818.07581325955,49.5925886027018,21567.0083371311,
4/16/2020,19,10840.7070106337,10063.814562717,2083.57474745009,50.7139500808716,23037.8816341146,
4/16/2020,20,11289.5706575521,10630.6513009983,2280.237527398,52.3935363960266,24261.0437613932,
4/16/2020,21,11422.483109809,10713.7241894531,2284.78047824436,51.7604706425137,24482.3319813368,
4/16/2020,22,10934.3590635851,10324.808296441,2175.45001600477,48.3958465438419,23495.5170534939,
4/16/2020,23,10270.2318674045,9729.67504882813,2002.96356011285,45.0086142932044,22064.4187673611,
4/16/2020,24,9579.41216145833,9093.73746961806,1842.64317938911,42.1521063741048,20571.4269363064,
4/17/2020,1,9129.94643229167,8597.523828125,1714.35742092556,39.9850126065148,19494.3904546441,
4/17/2020,2,8780.99757052952,8264.21469346788,1652.52479370117,38.6363770506117,18747.8689599609,
4/17/2020,3,8522.40021701389,8036.05339138455,1602.14541069878,38.4777298069,18214.0765260433,
4/17/2020,4,8484.13757378472,7969.59416883681,1582.02017415365,39.9558239799076,18089.8945898438,
4/17/2020,5,8594.16344292535,8098.95959418403,1596.85384372287,41.9462262429131,18344.7589171007,
4/17/2020,6,8956.64889105903,8477.81928602431,1705.18104383681,44.95002488984,19196.4482128906,
4/17/2020,7,9495.34032226563,8802.72028537326,1801.48247626411,48.1602930312687,20157.8367312283,
4/17/2020,8,9871.79458658854,8944.56639756944,1878.82186360677,48.6384322537316,20753.5749641927,
4/17/2020,9,9998.96621419271,9214.58831814236,1800.32524197049,48.4755323876275,21070.1970719401,
4/17/2020,10,9790.09270507813,9339.15214626736,1709.91426025391,46.2587256272634,20883.9309874132,
4/17/2020,11,9516.13026830566,9408.55902054752,1652.68658098596,45.1902152195326,20599.8227683143,
4/17/2020,12,9206.32916775174,9204.02552951389,1546.96680379232,44.4502687708537,19986.6709195964,
4/17/2020,13,9282.4134516059,9009.51941948785,1506.69482408312,46.1736426130931,19834.0991905382,
4/17/2020,14,9142.16531575521,8852.18505642361,1445.77796739366,45.4429400539398,19475.3394978841,
4/17/2020,15,9156.15266493056,8787.81064778646,1394.68204440647,45.6547316890293,19376.4923784722,
4/17/2020,16,9176.8931391059,8932.9657921007,1512.92836235894,47.8330330424839,19672.7311991374,
4/17/2020,17,9448.28285047743,9021.90135633681,1765.74650783963,50.0767789416843,20283.0157515462,
4/17/2020,18,9968.09236653646,9438.91763563368,1953.61909871419,51.1304899395837,21411.3121678331,
4/17/2020,19,10563.9143153212,9828.54745334202,2021.68716539171,51.5451256889767,22476.4655597633,
4/17/2020,20,10977.9430913628,10301.6671875,2243.19529649523,52.1764672989316,23587.5073649089,
4/17/2020,21,11137.8841417101,10455.4191916233,2218.73346082899,51.7723204082913,23875.6535660807,
4/17/2020,22,10607.3653200955,10081.2305957031,2137.37308620877,49.0738463370005,22889.1219032118,
4/17/2020,23,10062.8335340712,9602.55844618056,1952.04992418077,46.3120391241709,21679.3434781901,
4/17/2020,24,9368.86240234375,9032.55483506944,1813.54396240234,43.8889642312792,20274.1593240017,
4/18/2020,1,9032.14957573785,8691.48496744792,1707.04372775608,42.5731703895993,19489.1774663629,
4/18/2020,2,8660.2090766059,8358.42033799913,1628.1010305447,42.3014347426097,18705.6527143012,
4/18/2020,3,8448.9986200605,8040.69652154075,1565.10920482622,42.7037044106767,18111.759742296,
4/18/2020,4,8291.83430609809,7877.21979166667,1539.08491048177,44.2824833106995,17765.9089002821,
4/18/2020,5,8296.18091145833,7913.07775661892,1537.28745239258,46.0131135898166,17805.5195719401,
4/18/2020,6,8465.514453125,8065.38767523872,1578.16296630859,49.4091170713637,18179.2623876953,
4/18/2020,7,8719.68712456597,8139.37873046875,1630.6147507053,53.0055024623871,18564.0800998264,
4/18/2020,8,8909.21429253472,8030.88170518663,1631.44877509223,51.8415496942732,18626.7289388021,
4/18/2020,9,9403.51610568576,8120.56406955295,1679.54736938477,49.798551542494,19245.8238604058,
4/18/2020,10,9331.0153515625,8080.11062988281,1689.43241102431,47.4246958997515,19133.1429288737,
4/18/2020,11,9132.22611653646,8030.52253038194,1643.901847602,45.7643412833744,18825.3188487413,
4/18/2020,12,8776.62640516493,8357.27798882379,1564.27987481011,45.4994700643751,18720.2104248047,
4/18/2020,13,8612.04365234375,8421.92967773438,1508.68184705946,45.2338452868991,18582.2270876736,
4/18/2020,14,8386.44354654948,8394.99950086806,1439.72748101128,41.8865724976858,18251.3015058051,
4/18/2020,15,8101.27862141927,8371.18850585937,1390.41094726563,42.675541390313,17906.3461219618,
4/18/2020,16,8282.06629828559,8388.0692437066,1474.97679009332,42.7017349825965,18202.8403179253,
4/18/2020,17,8692.18274631076,8605.06942708333,1593.83564548069,44.4608904393514,18935.5175420464,
4/18/2020,18,9430.53345594618,9010.02258572049,1775.35470689562,46.5768881045447,20263.16767551,
4/18/2020,19,9790.18373914931,9424.1501421441,1962.21267428928,47.9205300479465,21237.6912955729,
4/18/2020,20,10395.3323817274,9920.99934353299,2146.00874498155,50.3660887516869,22528.2219607205,
4/18/2020,21,10848.5350195313,9958.97081488715,2165.97812771267,50.7371196142832,23041.6128645833,
4/18/2020,22,10550.2995974392,9672.75136284722,2093.78176269531,48.2591843912337,22385.6853423394,
4/18/2020,23,9974.0614203559,9235.60624348958,1974.34459459093,45.4913190025753,21251.8739605035,
4/18/2020,24,9364.65326063368,8701.20914496528,1814.51102389865,42.8179112943014,19945.8813937717,
4/19/2020,1,8949.54074761285,8255.79330078125,1711.52321370443,41.4321999571059,18979.9415087891,
